
2018-03-05 09:30:00 - INFO  - 600845.XSHG（宝信软件）的排名为：126,分数为：34.0

2018-03-05 09:30:00 - INFO  - 600900.XSHG（长江电力）的排名为：127,分数为：34.0

2018-03-05 09:30:00 - INFO  - 601799.XSHG（星宇股份）的排名为：128,分数为：34.0

2018-03-05 09:30:00 - INFO  - 000681.XSHE（视觉中国）的排名为：129,分数为：33.0

2018-03-05 09:30:00 - INFO  - 000938.XSHE（紫光股份）的排名为：130,分数为：33.0

2018-03-05 09:30:00 - INFO  - 002268.XSHE（卫士通）的排名为：131,分数为：33.0

2018-03-05 09:30:00 - INFO  - 002644.XSHE（佛慈制药）的排名为：132,分数为：33.0

2018-03-05 09:30:00 - INFO  - 002737.XSHE（葵花药业）的排名为：133,分数为：33.0

2018-03-05 09:30:00 - INFO  - 300170.XSHE（汉得信息）的排名为：134,分数为：33.0

2018-03-05 09:30:00 - INFO  - 600740.XSHG（山西焦化）的排名为：135,分数为：33.0

2018-03-05 09:30:00 - INFO  - 000301.XSHE（东方市场）的排名为：136,分数为：32.0

2018-03-05 09:30:00 - INFO  - 000504.XSHE（南华生物）的排名为：137,分数为：32.0

2018-03-05 09:30:00 - INFO  - 000989.XSHE（九芝堂）的排名为：138,分数为：32.0

2018-03-05 09:30:00 - INFO  - 300188.XSHE（美亚柏科）的排名为：139,分数为：32.0

2018-03-05 09:30:00 - INFO  - 300226.XSHE（上海钢联）的排名为：140,分数为：32.0

2018-03-05 09:30:00 - INFO  - 601005.XSHG（重庆钢铁）的排名为：141,分数为：32.0

2018-03-05 09:30:00 - INFO  - 000895.XSHE（双汇发展）的排名为：142,分数为：31.0

2018-03-05 09:30:00 - INFO  - 002124.XSHE（天邦股份）的排名为：143,分数为：31.0

2018-03-05 09:30:00 - INFO  - 002153.XSHE（石基信息）的排名为：144,分数为：31.0

2018-03-05 09:30:00 - INFO  - 002341.XSHE（新纶科技）的排名为：145,分数为：31.0

2018-03-05 09:30:00 - INFO  - 600636.XSHG（*ST爱富）的排名为：146,分数为：31.0

2018-03-05 09:30:00 - INFO  - 601699.XSHG（潞安环能）的排名为：147,分数为：31.0

2018-03-05 09:30:00 - INFO  - 000902.XSHE（新洋丰）的排名为：148,分数为：30.0

2018-03-05 09:30:00 - INFO  - 002009.XSHE（天奇股份）的排名为：149,分数为：30.0

2018-03-05 09:30:00 - INFO  - 002327.XSHE（富安娜）的排名为：150,分数为：30.0

2018-03-05 09:30:00 - INFO  - 002398.XSHE（建研集团）的排名为：151,分数为：30.0

2018-03-05 09:30:00 - INFO  - 002439.XSHE（启明星辰）的排名为：152,分数为：30.0

2018-03-05 09:30:00 - INFO  - 002655.XSHE（共达电声）的排名为：153,分数为：30.0

2018-03-05 09:30:00 - INFO  - 300240.XSHE（飞力达）的排名为：154,分数为：30.0

2018-03-05 09:30:00 - INFO  - 300251.XSHE（光线传媒）的排名为：155,分数为：30.0

2018-03-05 09:30:00 - INFO  - 600885.XSHG（宏发股份）的排名为：156,分数为：30.0

2018-03-05 09:30:00 - INFO  - 300202.XSHE（聚龙股份）的排名为：157,分数为：29.0

2018-03-05 09:30:00 - INFO  - 600378.XSHG（天科股份）的排名为：158,分数为：29.0

2018-03-05 09:30:00 - INFO  - 600398.XSHG（海澜之家）的排名为：159,分数为：29.0

2018-03-05 09:30:00 - INFO  - 600410.XSHG（华胜天成）的排名为：160,分数为：29.0

2018-03-05 09:30:00 - INFO  - 002147.XSHE（新光圆成）的排名为：161,分数为：28.0

2018-03-05 09:30:00 - INFO  - 002293.XSHE（罗莱生活）的排名为：162,分数为：28.0

2018-03-05 09:30:00 - INFO  - 002333.XSHE（罗普斯金）的排名为：163,分数为：28.0

2018-03-05 09:30:00 - INFO  - 600348.XSHG（阳泉煤业）的排名为：164,分数为：28.0

2018-03-05 09:30:00 - INFO  - 002003.XSHE（伟星股份）的排名为：165,分数为：27.0

2018-03-05 09:30:00 - INFO  - 002488.XSHE（金固股份）的排名为：166,分数为：27.0

2018-03-05 09:30:00 - INFO  - 002645.XSHE（华宏科技）的排名为：167,分数为：27.0

2018-03-05 09:30:00 - INFO  - 300270.XSHE（中威电子）的排名为：168,分数为：27.0

2018-03-05 09:30:00 - INFO  - 300572.XSHE（安车检测）的排名为：169,分数为：27.0

2018-03-05 09:30:00 - INFO  - 600130.XSHG（波导股份）的排名为：170,分数为：27.0

2018-03-05 09:30:00 - INFO  - 600673.XSHG（东阳光科）的排名为：171,分数为：27.0

2018-03-05 09:30:00 - INFO  - 603959.XSHG（百利科技）的排名为：172,分数为：27.0

2018-03-05 09:30:00 - INFO  - 002095.XSHE（生意宝）的排名为：173,分数为：26.0

2018-03-05 09:30:00 - INFO  - 002423.XSHE（中原特钢）的排名为：174,分数为：26.0

2018-03-05 09:30:00 - INFO  - 002713.XSHE（东易日盛）的排名为：175,分数为：26.0

2018-03-05 09:30:00 - INFO  - 300133.XSHE（华策影视）的排名为：176,分数为：26.0

2018-03-05 09:30:00 - INFO  - 300212.XSHE（易华录）的排名为：177,分数为：26.0

2018-03-05 09:30:00 - INFO  - 600182.XSHG（S佳通）的排名为：178,分数为：26.0

2018-03-05 09:30:00 - INFO  - 600725.XSHG（ST云维）的排名为：179,分数为：26.0

2018-03-05 09:30:00 - INFO  - 600794.XSHG（保税科技）的排名为：180,分数为：26.0

2018-03-05 09:30:00 - INFO  - 603025.XSHG（大豪科技）的排名为：181,分数为：26.0

2018-03-05 09:30:00 - INFO  - 000410.XSHE（沈阳机床）的排名为：182,分数为：25.0

2018-03-05 09:30:00 - INFO  - 000426.XSHE（兴业矿业）的排名为：183,分数为：25.0

2018-03-05 09:30:00 - INFO  - 000996.XSHE（中国中期）的排名为：184,分数为：25.0

2018-03-05 09:30:00 - INFO  - 300441.XSHE（鲍斯股份）的排名为：185,分数为：25.0

2018-03-05 09:30:00 - INFO  - 603866.XSHG（桃李面包）的排名为：186,分数为：25.0

2018-03-05 09:30:00 - INFO  - 000930.XSHE（中粮生化）的排名为：187,分数为：24.0

2018-03-05 09:30:00 - INFO  - 000955.XSHE（欣龙控股）的排名为：188,分数为：24.0

2018-03-05 09:30:00 - INFO  - 002516.XSHE（旷达科技）的排名为：189,分数为：24.0

2018-03-05 09:30:00 - INFO  - 002621.XSHE（三垒股份）的排名为：190,分数为：24.0

2018-03-05 09:30:00 - INFO  - 002699.XSHE（美盛文化）的排名为：191,分数为：24.0

2018-03-05 09:30:00 - INFO  - 600283.XSHG（钱江水利）的排名为：192,分数为：24.0

